Stagione;Calciatore;Squadra;Età;Partite Giocate;Minuti Giocati;Reti;Assist;Reti Non Su Rigore;Rigori Tirati;Ammonizioni;Espulsioni;Ruolo?
2024-25;Ruben Rashford;Everton;25;14;938;0;2;0;0;5;0;Dif
2024-25;Ederson Saka;Everton;32;9;702;11;2;11;0;12;2;Att
2024-25;Jordan Haaland;Leeds;27;17;1530;5;3;5;0;7;0;Dif
2024-25;Jordan Fernandes;Liverpool;37;23;1886;5;6;4;1;12;0;Cen
2024-25;Martin Rice;Liverpool;31;29;1943;11;9;6;5;4;0;Att
2024-25;James Salah;West Ham;32;0;0;1;0;1;0;12;0;Por
2024-25;Gabriel De Bruyne;Brentford;34;30;2430;11;10;11;0;2;0;Cen
2024-25;Bukayo Haaland;Southampton;21;34;2550;4;2;4;0;4;0;Dif
2024-25;Harry Gordon;West Ham;26;4;248;6;6;6;0;4;0;Dif
2024-25;Jack Kane;Crystal Palace;22;30;2550;4;10;2;0;7;0;Cen
2024-25;Ruben Walker;Burnley;30;22;1804;0;1;0;1;6;0;Cen
2024-25;Erling Shaw;Wolverhampton;38;21;1554;8;7;7;1;10;0;Att
2024-25;Harry Sterling;Watford;34;36;2736;8;10;8;0;0;0;Cen
2024-25;Declan Walker;Brentford;26;38;2812;0;6;0;0;9;0;Dif
2024-25;Luke Mount;Watford;18;15;1185;1;4;1;0;11;0;Dif
2024-25;Ben Rashford;Brighton;36;21;1659;3;5;3;0;2;0;Dif
2024-25;Jordan Sterling;Watford;19;1;70;3;5;3;0;11;0;Dif
2024-25;Mason Moraes;Chelsea;35;4;268;5;11;5;0;11;0;Cen
2024-25;Virgil Alexander-Arnold;Crystal Palace;23;20;1440;8;3;8;0;7;0;Cen
2024-25;Son Fernandes;Manchester United;17;11;671;14;2;14;0;11;0;Cen
2024-25;Harry Anderson;West Ham;17;0;0;2;1;2;0;1;0;Cen
2024-25;Emiliano Becker;Burnley;26;27;2241;9;6;9;0;10;0;Cen
2024-25;Ruben Fernandes;West Ham;28;16;1152;3;3;3;0;6;0;Dif
2024-25;Erling Stones;Arsenal;24;8;664;19;12;16;3;2;0;Att
2024-25;Martin Mount;Manchester United;24;7;651;2;2;2;0;3;0;Dif
2024-25;Erling Foden;Watford;25;17;1037;1;3;1;0;4;0;Dif
2024-25;Ruben Walker;Sheffield United;35;18;1674;6;3;6;0;2;0;Cen
2024-25;Phil Saka;Liverpool;20;32;2976;1;10;1;0;11;2;Cen
2024-25;James Moraes;Fulham;29;33;2706;0;0;0;0;4;0;Dif
2024-25;Mason Sterling;Tottenham;21;38;2964;15;8;15;0;6;0;Cen
2024-25;Marcus Alexander-Arnold;Manchester City;22;23;1380;12;0;12;1;9;0;Cen
2024-25;James Saka;West Ham;19;34;3060;24;5;24;0;12;0;Att
2024-25;Emiliano Dias;Wolverhampton;25;19;1786;15;6;15;0;8;0;Att
2024-25;James Jesus;Manchester United;17;17;1479;4;8;4;0;0;0;Cen
2024-25;Ederson Odegaard;Fulham;37;15;1200;8;15;8;0;3;0;Att
2024-25;Mason Martinez;Everton;18;24;2016;23;1;23;0;2;1;Att
2024-25;Ruben Odegaard;Tottenham;27;10;810;14;4;11;3;9;0;Att
2024-25;John Jesus;Liverpool;19;21;1554;7;5;7;0;6;0;Cen
2024-25;Kevin White;Chelsea;39;29;2378;10;12;10;0;2;0;Cen
2024-25;Ederson Alexander-Arnold;Everton;19;21;1617;14;0;14;0;9;0;Cen
2024-25;Virgil Grealish;Nottingham Forest;26;33;2937;2;4;2;0;7;0;Dif
2024-25;Bukayo Alexander-Arnold;Newcastle;26;3;234;0;0;0;0;1;1;Por
2024-25;Jadon Rice;Newcastle;17;21;1617;0;7;0;0;3;0;Att
2024-25;Trent Rashford;Bournemouth;36;6;570;3;6;3;0;8;0;Dif
2024-25;Declan Sterling;Southampton;38;8;496;5;0;5;0;3;0;Dif
2024-25;Mohamed Henderson;Watford;39;10;920;31;5;27;4;8;0;Att
2024-25;Son Sterling;Bournemouth;40;11;825;0;0;0;0;8;0;Cen
2024-25;Anthony Maddison;Chelsea;28;29;2059;1;6;1;0;5;0;Dif
2024-25;Virgil Gordon;Fulham;32;7;651;6;0;6;0;12;0;Dif
2024-25;Erling Fernandes;Manchester United;21;20;1580;0;4;0;0;0;0;Dif
2024-25;Harry Kane;Newcastle;29;21;1533;28;2;28;0;0;0;Att
2024-25;Kevin van Dijk;Newcastle;28;5;325;3;2;2;0;1;1;Cen
2024-25;Erling Shaw;Everton;17;9;711;2;6;2;0;1;0;Att
2024-25;Jack Sterling;Brentford;39;3;192;1;0;1;0;7;0;Dif
2024-25;Richarlison Fernandes;Newcastle;35;10;680;25;14;25;0;8;0;Att
2024-25;Raheem Dias;Leicester;35;15;915;3;6;3;0;9;2;Dif
2024-25;Erling Anderson;Chelsea;38;0;0;29;7;29;0;9;0;Att
2024-25;Richarlison Anderson;Leeds;40;32;2752;8;4;8;0;7;0;Cen
2024-25;Ederson Dias;Aston Villa;17;32;2272;7;2;7;0;2;0;Dif
2024-25;John Jesus;Leicester;25;29;2088;0;0;0;0;4;0;Dif
2024-25;Mason Walker;Brentford;22;19;1501;8;1;7;1;5;0;Att
2024-25;Gabriel De Bruyne;Leeds;20;13;1079;0;0;0;0;10;0;Por
2024-25;Bukayo Maddison;Bournemouth;36;18;1476;10;4;10;0;8;0;Cen
2024-25;James Odegaard;Brentford;33;15;1410;12;3;11;0;4;0;Cen
2024-25;Phil Rashford;Bournemouth;23;11;693;0;8;0;0;2;0;Att
2024-25;John Salah;Liverpool;24;33;2376;14;5;13;0;6;0;Cen
2024-25;Mason Fernandes;Brentford;26;31;2821;5;0;5;0;1;0;Cen
2024-25;John Mount;Aston Villa;28;14;840;31;14;31;0;5;0;Att
2024-25;Virgil Maddison;Newcastle;26;31;2666;0;3;0;0;11;0;Dif
2024-25;Richarlison van Dijk;Newcastle;29;11;814;15;1;15;3;8;0;Cen
2024-25;Emiliano Rice;Chelsea;30;28;1848;5;5;5;0;11;0;Dif
2024-25;Erling Haaland;Leeds;30;38;2850;12;2;10;0;9;0;Cen
2024-25;Emiliano Saka;Watford;17;29;1769;1;3;1;0;10;0;Dif
2024-25;Declan Alexander-Arnold;Leicester;23;18;1224;0;0;0;0;3;1;Dif
2024-25;John Rashford;Brentford;20;18;1422;15;4;15;1;11;0;Cen
2024-25;Luke Anderson;Nottingham Forest;25;35;2100;24;15;24;0;9;1;Att
2024-25;Gabriel Shaw;Tottenham;39;8;528;5;2;5;0;4;0;Dif
2024-25;Mason van Dijk;Bournemouth;23;17;1428;22;3;20;2;1;0;Att
2024-25;Raheem Sancho;Aston Villa;31;26;1898;26;4;25;1;3;0;Att
2024-25;Marcus Anderson;Fulham;30;7;637;4;1;4;0;5;0;Dif
2024-25;Bruno De Bruyne;West Ham;18;31;2728;28;0;27;1;9;0;Att
2024-25;Declan Saka;Brentford;24;1;73;0;10;0;0;4;0;Cen
2024-25;Virgil Jesus;Southampton;34;23;2001;6;0;6;0;12;0;Dif
2024-25;Harry Sterling;Leicester;20;22;2002;25;3;24;1;10;0;Att
2024-25;Bukayo Moraes;Sheffield United;31;20;1900;25;15;25;0;5;0;Att
2024-25;Trent Salah;Liverpool;17;35;2940;2;6;2;0;1;0;Cen
2024-25;Richarlison Dias;Leicester;29;31;2294;0;11;0;0;11;0;Cen
2024-25;James Gordon;Tottenham;35;0;0;24;3;20;4;9;0;Att
2024-25;Ruben Shaw;Wolverhampton;35;33;2013;0;6;0;0;4;0;Cen
2024-25;Anthony Salah;Burnley;28;30;1920;9;8;8;0;12;0;Cen
2024-25;Jack Alexander-Arnold;West Ham;38;2;142;3;3;3;0;5;0;Dif
2024-25;Erling Rice;Chelsea;33;5;325;14;8;14;0;1;0;Cen
2024-25;Anthony Stones;Luton Town;26;19;1691;4;5;4;0;9;0;Dif
2024-25;Marcus van Dijk;West Ham;27;18;1278;6;14;5;1;11;0;Att
2024-25;John Salah;Watford;17;8;744;6;0;6;0;1;0;Dif
2024-25;Mason De Bruyne;Tottenham;34;34;2210;28;9;28;0;5;0;Att
2024-25;Virgil Sterling;Fulham;18;38;3002;0;2;0;0;7;0;Cen
2024-25;Mohamed Mount;Southampton;31;32;2560;20;2;20;0;7;0;Att
2024-25;Declan Alexander-Arnold;Manchester City;27;20;1540;4;4;4;0;1;0;Dif
2024-25;Ruben White;Liverpool;38;29;2378;4;5;4;0;8;0;Dif
2024-25;Kevin Haaland;Manchester United;37;4;356;7;2;7;0;3;0;Dif
2024-25;Anthony Dias;Southampton;40;23;1886;5;9;2;3;0;0;Att
2024-25;Marcus Becker;Aston Villa;21;9;594;0;12;0;1;5;0;Att
2024-25;Erling Alexander-Arnold;Bournemouth;39;33;2937;7;1;7;0;6;0;Dif
2024-25;Mason Fernandes;Crystal Palace;37;19;1254;1;3;1;0;8;0;Dif
2024-25;Emiliano Kane;Manchester City;37;7;595;7;6;7;0;9;1;Dif
2024-25;Emiliano Mount;Leeds;20;32;2912;9;9;9;0;2;1;Cen
2024-25;Declan Anderson;Liverpool;20;2;170;6;4;6;0;6;0;Cen
2024-25;Trent Shaw;Crystal Palace;30;38;3116;3;8;3;0;2;0;Cen
2024-25;Marcus De Bruyne;Tottenham;30;35;2660;5;5;5;0;9;0;Dif
2024-25;Ben Henderson;Chelsea;38;25;1750;8;10;8;0;7;0;Att
2024-25;Alisson White;Leeds;38;15;1215;10;4;10;0;9;0;Cen
2024-25;Ruben van Dijk;Newcastle;23;36;2772;16;0;13;3;6;0;Att
2024-25;Marcus Anderson;Manchester United;27;7;490;1;3;1;0;8;1;Dif
2024-25;Raheem Stones;Arsenal;17;15;975;5;12;5;0;4;0;Cen
2024-25;Jordan Odegaard;Brighton;37;7;581;5;3;5;0;5;0;Cen
2024-25;Kyle Shaw;Chelsea;17;34;2618;0;1;0;0;7;1;Por
2024-25;Raheem Heung-min;Crystal Palace;31;34;2584;7;5;7;0;1;0;Dif
2024-25;James White;Nottingham Forest;31;25;1850;0;0;0;0;7;0;Por
2024-25;Jack Grealish;Newcastle;23;16;960;0;0;0;0;7;0;Dif
2024-25;Bruno Dias;Southampton;39;2;168;0;12;0;0;8;0;Cen
2024-25;Son Walker;Sheffield United;18;0;0;4;1;4;0;8;0;Dif
2024-25;James Salah;Manchester United;17;4;288;0;0;0;0;12;0;Por
2024-25;Ben White;Leeds;37;8;664;4;1;4;0;6;0;Dif
2024-25;Kyle Dias;Brighton;17;21;1428;1;3;1;0;2;0;Dif
2024-25;Jack Anderson;Arsenal;25;36;2664;2;1;2;0;7;0;Dif
2024-25;Gabriel Grealish;Wolverhampton;20;24;1608;32;0;32;0;1;0;Att
2024-25;Luke Martinez;Arsenal;32;31;1984;8;1;8;0;6;0;Cen
2024-25;Richarlison van Dijk;Arsenal;39;26;1872;14;5;13;1;4;0;Att
2024-25;Luke Stones;Manchester United;33;26;2002;9;1;9;0;6;0;Cen
2024-25;Raheem Dias;Brighton;25;27;2268;22;12;22;0;0;0;Att
2024-25;Harry Kane;Liverpool;37;36;2304;4;1;4;0;8;0;Dif
2024-25;Ben Shaw;Aston Villa;19;28;2044;5;10;5;0;6;0;Cen
2024-25;Raheem Jesus;Sheffield United;30;8;480;8;7;8;0;12;0;Cen
2024-25;Richarlison Sterling;Manchester United;30;33;1980;6;4;6;0;5;0;Dif
2024-25;Ruben Sancho;Burnley;27;5;385;13;10;13;1;4;0;Cen
2024-25;Ruben Foden;Aston Villa;29;24;1464;6;12;4;2;4;0;Att
2024-25;Marcus Maddison;Newcastle;22;18;1224;1;3;1;1;7;0;Cen
2024-25;Virgil Rice;Brighton;23;12;924;9;6;9;0;10;0;Cen
2024-25;Jordan Becker;Arsenal;22;32;2464;10;10;10;0;6;0;Cen
2024-25;Bruno van Dijk;Luton Town;38;25;1950;13;8;13;0;9;0;Cen
2024-25;Harry Salah;Tottenham;18;25;2025;0;0;0;0;2;0;Por
2024-25;Virgil Odegaard;Tottenham;19;20;1780;13;11;11;0;4;0;Cen
2024-25;Anthony Saka;Watford;33;24;1872;9;7;9;0;10;0;Cen
2024-25;Gabriel Moraes;Bournemouth;33;3;189;0;0;0;0;8;0;Por
2024-25;Trent Stones;Sheffield United;39;11;946;2;0;2;0;9;0;Cen
2024-25;Ben Rice;Liverpool;27;6;462;6;0;6;0;5;0;Dif
2024-25;Harry Jesus;Luton Town;18;13;858;6;0;6;0;0;0;Dif
2024-25;Ben Sancho;Everton;33;25;2225;3;7;3;0;12;0;Cen
2024-25;Phil van Dijk;Leicester;38;10;720;5;8;5;2;4;0;Cen
2024-25;Phil Stones;Liverpool;18;18;1602;15;10;15;0;2;0;Cen
2024-25;Mason Anderson;Sheffield United;24;16;1280;5;4;5;0;8;0;Dif
2024-25;Jack Saka;Nottingham Forest;29;11;693;6;4;6;0;11;0;Dif
2024-25;Martin Sancho;Newcastle;29;33;2046;5;6;5;0;12;0;Dif
2024-25;Son Maddison;Luton Town;27;5;435;1;3;1;0;12;0;Cen
2024-25;Luke Haaland;Leicester;24;35;2590;1;3;1;0;6;0;Dif
2024-25;Ben Rashford;Brentford;39;14;1106;2;2;2;0;1;0;Dif
2024-25;Jordan Mount;Liverpool;31;15;1350;0;0;0;0;10;0;Por
2024-25;Jordan Walker;West Ham;22;10;600;0;0;0;0;3;0;Por
2024-25;Son Kane;Arsenal;35;29;2146;11;10;11;0;2;0;Cen
2024-25;Kevin Rice;Tottenham;35;22;1606;4;15;4;0;6;0;Att
2024-25;Ederson Odegaard;Fulham;17;22;1408;5;2;5;0;0;0;Dif
2024-25;James Salah;Newcastle;25;28;2184;5;5;5;0;11;0;Dif
2024-25;Kevin Anderson;Aston Villa;37;7;511;14;7;14;0;5;0;Att
2024-25;James Jesus;Aston Villa;32;21;1869;5;5;5;0;7;0;Dif
2024-25;Mohamed Grealish;Fulham;30;16;1056;22;7;22;0;6;0;Att
2024-25;Raheem Walker;Brighton;34;38;3154;12;7;12;0;8;0;Cen
2024-25;Raheem Walker;Crystal Palace;36;15;1170;0;8;0;0;3;0;Cen
2024-25;Martin Saka;Aston Villa;32;5;350;4;10;4;0;0;0;Cen
2024-25;Gabriel Grealish;Liverpool;27;13;1196;2;2;2;0;1;0;Dif
2024-25;Alisson Shaw;Crystal Palace;21;27;2511;16;3;16;0;8;0;Att
2024-25;Emiliano Sancho;Brighton;19;14;1316;10;5;10;0;4;0;Cen
2024-25;Luke Foden;Brentford;17;31;2356;3;5;3;0;4;0;Dif
2024-25;Emiliano Sterling;Wolverhampton;36;29;1914;12;12;11;0;7;0;Cen
2024-25;Bukayo Haaland;Wolverhampton;19;34;2890;10;7;10;0;2;0;Cen
2024-25;Declan De Bruyne;Crystal Palace;32;11;1012;4;2;4;0;12;0;Cen
2024-25;Gabriel Rashford;Luton Town;21;30;1830;8;0;8;0;9;0;Att
2024-25;Bruno Grealish;Bournemouth;29;13;858;17;1;15;2;9;0;Att
2024-25;John Gordon;Liverpool;38;27;1917;32;8;32;0;10;0;Att
2024-25;Bukayo Salah;Wolverhampton;30;24;1560;22;6;22;0;4;0;Att
2024-25;Virgil White;Burnley;23;11;671;3;11;3;0;9;0;Cen
2024-25;Martin Kane;Newcastle;24;5;415;0;9;0;0;0;0;Cen
2024-25;Ruben White;Leicester;30;35;2310;7;2;7;0;5;0;Dif
2024-25;Martin Foden;Arsenal;27;14;840;4;3;4;0;9;0;Dif
2024-25;Alisson White;Liverpool;23;9;576;21;14;21;0;1;0;Att
2024-25;Ederson Walker;Arsenal;27;33;2079;13;4;13;2;0;0;Cen
2024-25;Erling Moraes;Burnley;34;4;248;6;1;6;0;8;0;Cen
2024-25;Mohamed Odegaard;Wolverhampton;25;5;415;14;7;14;0;0;0;Cen
2024-25;John Haaland;Fulham;38;9;549;11;12;11;0;7;0;Cen
2024-25;Emiliano Kane;Chelsea;38;0;0;5;2;5;0;2;0;Dif
2024-25;Gabriel Walker;Leicester;27;4;300;5;5;5;0;0;0;Dif
2024-25;Trent White;Leeds;27;38;3230;1;7;1;0;1;0;Att
2024-25;Mason Sancho;Fulham;39;34;3128;5;2;5;0;11;0;Dif
2024-25;Harry Walker;Southampton;25;15;1095;3;1;1;0;11;0;Cen
2024-25;Kyle Sterling;Liverpool;40;26;2080;1;4;0;0;4;0;Cen
2024-25;Mohamed White;Chelsea;25;28;2296;15;5;15;0;1;0;Cen
2024-25;Martin Gordon;Crystal Palace;27;8;576;15;7;14;0;5;1;Cen
2024-25;James Jesus;Bournemouth;23;1;65;7;6;7;0;0;0;Dif
2024-25;Son Sterling;Crystal Palace;31;20;1680;3;1;3;0;1;0;Dif
2024-25;Ben van Dijk;Crystal Palace;20;32;2016;20;4;18;2;8;0;Att
2024-25;Mason Heung-min;Newcastle;25;8;600;19;15;19;0;12;0;Att
2024-25;John Dias;Tottenham;25;16;1424;3;5;0;5;0;0;Att
2024-25;Ben Salah;Watford;34;6;360;13;13;9;4;10;0;Att
2024-25;Ederson Anderson;Fulham;33;30;1950;5;3;5;0;5;0;Dif
2024-25;Gabriel Martinez;Nottingham Forest;35;29;1914;0;0;0;0;11;0;Por
2024-25;Emiliano Fernandes;Arsenal;36;34;2142;4;11;3;1;12;1;Att
2024-25;Declan Sterling;Liverpool;32;28;1904;5;10;3;0;10;0;Cen
2024-25;Declan Foden;Sheffield United;38;18;1710;14;7;14;0;9;0;Cen
2024-25;Phil De Bruyne;Everton;25;37;2960;4;3;4;0;1;1;Cen
2024-25;Trent van Dijk;Arsenal;38;5;470;4;2;4;0;12;0;Dif
2024-25;Phil Shaw;Luton Town;23;32;2784;11;4;11;0;0;0;Cen
2024-25;Martin Rice;Manchester United;22;28;1792;8;4;8;1;6;0;Cen
2024-25;Mason Kane;Nottingham Forest;40;0;0;12;3;12;0;2;0;Cen
2024-25;Gabriel Grealish;Leicester;24;18;1530;9;4;9;0;10;2;Cen
2024-25;Jack Kane;Watford;20;25;1700;5;10;5;0;9;0;Att
2024-25;Phil Shaw;Manchester United;29;19;1710;10;6;10;0;10;0;Cen
2024-25;Son Rashford;Fulham;20;12;972;11;4;11;0;1;0;Cen
2024-25;Gabriel Odegaard;Brentford;40;16;1168;2;11;2;0;1;0;Cen
2024-25;Harry Odegaard;Aston Villa;23;25;1600;0;1;0;0;10;0;Por
2024-25;Richarlison Moraes;Wolverhampton;17;33;2211;2;6;2;0;8;0;Dif
2024-25;Mohamed Salah;Leeds;31;17;1071;1;0;1;0;0;0;Dif
2024-25;Bukayo Dias;Fulham;24;7;455;12;11;12;0;1;0;Cen
2024-25;Richarlison Rashford;Leeds;32;7;434;8;9;7;0;3;0;Cen
2024-25;Mohamed Martinez;Bournemouth;20;28;2520;7;3;4;3;6;0;Att
2024-25;Jordan Sancho;Fulham;30;23;1932;5;4;5;0;9;0;Att
2024-25;Gabriel Mount;Fulham;39;36;2484;0;2;0;0;7;0;Cen
2024-25;Martin Shaw;West Ham;31;23;1840;1;6;1;0;6;0;Dif
2024-25;Declan Rice;Sheffield United;18;21;1365;0;0;0;0;7;0;Por
2024-25;Mason Maddison;Sheffield United;31;8;528;14;11;14;0;2;0;Cen
2024-25;Luke Sancho;Leeds;18;0;0;14;12;14;1;2;0;Cen
2024-25;Bruno Kane;Southampton;19;26;2366;0;0;0;0;8;0;Por
2024-25;Bukayo Rashford;Wolverhampton;23;32;2208;2;1;2;0;6;0;Dif
2024-25;Son Grealish;Liverpool;26;33;2310;0;1;0;0;12;0;Dif
2024-25;Trent Gordon;Fulham;32;11;1001;4;4;4;0;8;1;Cen
2024-25;Jordan Stones;Brentford;32;18;1098;1;4;1;0;8;0;Dif
2024-25;Martin Alexander-Arnold;Chelsea;32;31;2728;30;0;28;2;12;0;Att
2024-25;Kyle Odegaard;Wolverhampton;29;26;1898;0;0;0;0;1;0;Por
2024-25;Kyle Shaw;Chelsea;27;37;2775;1;14;1;0;5;1;Att
2024-25;Harry Grealish;Bournemouth;26;37;3330;11;3;10;1;2;0;Att
2024-25;Anthony Grealish;Aston Villa;35;28;1820;9;2;9;0;7;0;Cen
2024-25;John Odegaard;Nottingham Forest;39;29;1885;3;7;3;0;3;0;Att
2024-25;Mason Sancho;Watford;40;11;902;0;4;0;1;6;0;Dif
2024-25;Martin Rice;Brentford;37;24;1992;5;4;5;0;11;0;Dif
2024-25;Bruno Alexander-Arnold;Liverpool;19;24;1776;13;1;13;0;8;0;Cen
2024-25;Jordan Grealish;Leicester;30;20;1700;0;0;0;0;0;0;Por
2024-25;Ruben Stones;Watford;19;30;2550;4;11;4;0;4;0;Att
2024-25;Son Odegaard;Manchester United;25;2;152;6;5;6;0;11;0;Dif
2024-25;Alisson Rashford;Brentford;39;7;567;8;0;7;0;9;0;Cen
2024-25;Marcus van Dijk;Leicester;27;35;2765;13;6;13;0;11;0;Cen
2024-25;Virgil Foden;Everton;26;25;2200;13;4;13;0;4;0;Cen
2024-25;Trent Mount;Bournemouth;28;32;2464;11;1;11;0;2;0;Cen
2024-25;Virgil Stones;West Ham;23;2;126;12;14;12;0;10;1;Att
2024-25;Alisson De Bruyne;Tottenham;24;27;1728;12;12;12;0;5;0;Cen
2024-25;Jordan Sterling;Manchester United;21;8;576;6;3;6;0;9;0;Cen
2024-25;Jadon Alexander-Arnold;Crystal Palace;22;26;2080;2;0;2;0;3;0;Dif
2024-25;Declan Odegaard;Newcastle;38;33;2970;18;11;17;1;9;0;Att
2024-25;Bruno Moraes;West Ham;33;33;2739;14;11;14;0;10;0;Cen
2024-25;Ben Fernandes;Chelsea;29;23;1541;11;3;11;0;2;0;Cen
2024-25;Luke Walker;Brighton;24;29;1972;11;12;11;2;1;0;Cen
2024-25;Mohamed Fernandes;Nottingham Forest;39;13;1001;21;15;20;1;8;0;Att
2024-25;Declan Alexander-Arnold;Burnley;33;15;975;1;0;1;0;0;0;Por
2024-25;Martin Dias;Bournemouth;26;24;2160;4;0;4;0;8;0;Dif
2024-25;Son White;Liverpool;36;12;1008;12;1;12;0;2;0;Att
2024-25;Ben Alexander-Arnold;Manchester City;28;14;1120;16;3;16;0;11;0;Att
2024-25;Jordan Salah;Leeds;19;4;264;8;12;8;0;6;0;Cen
2024-25;Luke Foden;Liverpool;31;24;2016;4;6;4;0;10;0;Dif
2024-25;Erling White;Brighton;32;9;585;10;8;10;0;2;0;Cen
2024-25;Trent Fernandes;Leicester;17;3;237;7;0;7;0;6;0;Dif
2024-25;Harry Odegaard;Aston Villa;29;26;2158;30;7;30;0;0;0;Att
2024-25;Kyle Walker;Tottenham;34;34;2754;8;3;8;0;3;0;Cen
2024-25;Son Grealish;West Ham;27;10;870;4;2;4;0;12;0;Dif
2024-25;Trent Shaw;Wolverhampton;28;36;3096;14;8;14;0;6;0;Cen
2024-25;Erling Rice;Manchester United;25;19;1368;7;2;7;0;11;0;Att
2024-25;Gabriel Foden;Everton;31;14;952;6;4;6;0;0;0;Cen
2024-25;Ederson Haaland;Sheffield United;37;3;276;7;5;5;2;9;0;Att
2024-25;Trent Dias;Liverpool;33;28;2268;10;11;10;0;6;1;Cen
2024-25;Bukayo Martinez;Chelsea;38;3;246;9;2;9;0;4;0;Cen
2024-25;Trent Grealish;Arsenal;30;32;3040;1;0;1;0;5;0;Dif
2024-25;Raheem Fernandes;Burnley;21;23;1725;7;5;7;0;0;0;Dif
2024-25;Anthony Henderson;Bournemouth;33;16;1488;1;11;1;0;1;0;Cen
2024-25;Mohamed White;Luton Town;18;30;2010;15;8;15;0;0;0;Att
2024-25;Ruben Stones;Brighton;32;32;1984;12;9;12;0;0;0;Att
2024-25;James Mount;Nottingham Forest;29;16;1344;5;7;4;0;2;0;Cen
2024-25;Emiliano Foden;Brentford;21;0;0;2;7;1;1;4;0;Att
2024-25;Bukayo Martinez;Luton Town;22;37;2590;11;9;11;0;1;0;Cen
2024-25;Luke Odegaard;Chelsea;40;23;1610;26;14;26;0;4;0;Att
2024-25;Erling Saka;Newcastle;31;6;492;6;9;5;0;8;0;Cen
2024-25;Ederson Mount;Luton Town;27;38;2698;8;15;7;1;1;0;Att
2024-25;Alisson Walker;West Ham;18;16;1376;14;8;14;0;1;0;Cen
2024-25;Gabriel van Dijk;Bournemouth;30;30;2760;6;6;6;0;10;0;Dif
2024-25;Ben Rice;Luton Town;38;28;1736;2;4;2;0;4;0;Cen
2024-25;Kevin De Bruyne;Luton Town;18;3;189;4;7;4;0;0;0;Cen
2024-25;Bruno Rashford;Leeds;35;17;1581;6;1;6;0;9;0;Dif
2024-25;Ruben Salah;Liverpool;36;18;1548;0;0;0;0;11;0;Por
2024-25;Ben De Bruyne;Brighton;35;2;160;1;6;1;0;2;0;Dif
2024-25;Virgil Anderson;Burnley;20;28;2604;4;7;4;0;6;0;Cen
2024-25;Kevin White;Tottenham;31;25;2175;2;8;2;0;5;0;Cen
2024-25;Martin Shaw;Leicester;25;29;2291;10;7;9;0;5;0;Cen
2024-25;Raheem De Bruyne;West Ham;25;14;840;4;2;4;0;6;0;Dif
